Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
The Bouncy Ball Experiment,1162,49,4.0,1083,1430,750,0.48970588235294116,375
The 404,1170,128,148.0,1178,1430,750,0.6294117647058823,209
The 404,1170,216,18.0,1178,1430,750,0.6294117647058823,209
One-click tools 🖱️,1186,51,5.0,1100,1430,750,0.5147058823529411,360
Design App,1238,70,11.0,1068,1430,750,0.4676470588235294,301
MemeStream,1244,65,7.0,1198,1430,750,0.6588235294117647,146
MemeStream,1244,72,8.0,1198,1430,750,0.6588235294117647,146
MemeStream,1244,508,19.0,1198,1430,750,0.6588235294117647,146
Ocean+,1248,66,2.0,1057,1430,750,0.4514705882352941,352
Climate IQ,1256,965,490.0,1235,1420,809,0.6972176759410802,76
Randomly Generated Characters ,1273,73,24.0,1092,1430,750,0.5029411764705882,171
Randomly Generated Characters ,1273,404,6.0,1092,1430,750,0.5029411764705882,171
Weather app,1288,131,8.0,933,1430,750,0.2691176470588235,252
Contentify ai,1290,222,210.0,1005,1430,754,0.371301775147929,115
Contentify ai,1290,228,11.0,1005,1430,754,0.371301775147929,115
Contentify ai,1290,702,1.0,1005,1430,754,0.371301775147929,115
iBlot,1291,133,3.0,949,1430,750,0.2926470588235294,264
Flashify,1303,78,8.0,1041,1430,750,0.4279411764705882,291
ClickToLens,1313,87,16.0,1241,1420,806,0.7084690553745928,83
PoetryBot,1316,80,13.0,1156,1430,750,0.5970588235294118,197
PoetryBot,1316,406,2.0,1156,1430,750,0.5970588235294118,197
Sketch app,1321,79,8.0,1092,1430,750,0.5029411764705882,304
Mini Game Hub,1343,85,3.0,1077,1430,750,0.4808823529411765,354
Driver Website,1360,457,714.0,1042,1346,822,0.4198473282442748,52
Wiki Craft,1369,396,79.0,1082,1430,754,0.48520710059171596,130
Sand Simulation,1373,549,249.0,1236,1340,899,0.764172335600907,33
Helionix,1379,365,317.0,1318,1420,798,0.8360128617363344,88
The Traze Maze,1408,1400,256.0,1154,1324,932,0.5663265306122449,19
Beepcrypt,1419,306,222.0,1235,1430,750,0.7132352941176471,178
Typing Test For Programmers,1430,709,13.0,980,1346,854,0.25609756097560976,41
To Do List CLI ,1431,149,43.0,1235,1430,750,0.7132352941176471,231
Asciifyer,1478,295,64.0,1204,1430,750,0.6676470588235294,178
NetTool,1479,262,232.0,1197,1430,750,0.6573529411764706,141
NetTool,1479,427,152.0,1197,1430,750,0.6573529411764706,141
CSS,1493,187,2.0,824,1430,750,0.10882352941176471,252
Calculator project,1494,101,2.0,817,1430,750,0.09852941176470588,166
Calculator project,1494,105,1.0,817,1430,750,0.09852941176470588,166
Calculator project,1494,364,7.0,817,1430,750,0.09852941176470588,166
Gomoku,1506,253,137.0,1002,1394,813,0.3253012048192771,64
stock simulator,1522,494,803.0,1269,1430,754,0.7618343195266272,115
Eve's Website: PHP Rewrite,1527,182,39.0,1095,1430,750,0.5073529411764706,205
Higher or Lower,1535,177,24.0,1280,1430,750,0.7794117647058824,215
Higher or Lower,1535,217,3.0,1280,1430,750,0.7794117647058824,215
Click For Cat,1544,106,2.0,886,1430,750,0.2,194
Click For Cat,1544,148,35.0,886,1430,750,0.2,194
Click For Cat,1544,154,1.0,886,1430,750,0.2,194
Shufl Chat,1575,415,303.0,1108,1324,932,0.4489795918367347,19
OpenListen,1580,397,174.0,1318,1346,839,0.9447731755424064,47
Cardlisher - A english flashcard app,1583,213,8.0,1076,1430,750,0.47941176470588237,209
website,1588,198,26.0,939,1430,750,0.27794117647058825,210
Cafe Finder,1611,109,2.0,1174,1430,750,0.6235294117647059,196
Cafe Finder,1611,567,13.0,1174,1430,750,0.6235294117647059,196
The Potatoist,1623,606,123.0,1111,1346,822,0.5515267175572519,51
Smart Caculator,1632,114,10.0,931,1394,809,0.20854700854700856,70
INTmap,1635,157,6.0,1140,1430,750,0.5735294117647058,281
SkySynth,1651,121,16.0,1147,1430,750,0.5838235294117647,291
Overused Puzzle Solver,1662,119,90.0,1058,1430,750,0.45294117647058824,265
To do list,1665,137,7.0,909,1430,750,0.2338235294117647,242
Exam Response Analyzer - Detailed Subject-wise Analysis,1675,180,221.0,1241,1430,750,0.7220588235294118,142
