Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
To-do-app,4310,737,20.0,923,1340,864,0.12394957983193278,39
QR Generator,4339,997,52.0,1062,1430,787,0.4276827371695179,103
Minimal Portfolio,4349,692,8.0,1022,1430,787,0.3654743390357698,97
Notekeeper Pro,4362,699,19.0,1047,1420,809,0.3895253682487725,75
PokeGuess - Pokemon Guessing Game,4400,800,459.0,1271,1346,839,0.8520710059171598,48
Pokemonguessr,4408,1043,160.0,1052,1407,809,0.40635451505016723,74
Sunny Side Cafe,4415,770,262.0,1194,1430,752,0.6519174041297935,134
roblox-outfit-finder,4430,765,131.0,1166,1430,750,0.611764705882353,157
Illusion,4439,719,14.0,1041,1346,860,0.3724279835390947,40
Live,4440,764,97.0,1181,1430,752,0.6327433628318584,137
A Guide For Everything,4446,723,91.0,1052,1340,913,0.3255269320843091,25
Personal portfolio website,4480,862,22.0,857,1430,787,0.1088646967340591,95
Website for the hackathon I'm hosting,4596,784,46.0,1005,1430,794,0.33176100628930816,92
Tower Blocks,4598,978,194.0,1187,1340,899,0.6530612244897959,33
QR Code website,4615,796,2.0,1103,1430,754,0.5162721893491125,117
Physbox,4619,1421,110.0,1155,1340,911,0.5687645687645687,28
Palettette,4628,828,62.0,1135,1420,800,0.5403225806451613,86
Celestial Sphere,4637,907,28.0,1272,1430,789,0.7535101404056163,93
Portfolio,4666,830,43.0,1097,1420,806,0.4739413680781759,80
Personal Website,4686,856,9.0,1141,1340,905,0.542528735632184,29
ISS Tracker,4701,1181,188.0,1332,1346,836,0.9725490196078431,49
LineUp - GitHub Badges showing your repository’s Lines of Code!,4702,1005,50.0,1162,1420,806,0.5798045602605864,81
Loopvet,4730,927,25.0,1074,1394,813,0.44922547332185886,64
Rudra's PortFolio,4734,882,6.0,946,1430,798,0.23417721518987342,90
Website Rewrite,4794,1113,27.0,1085,1328,913,0.41445783132530123,22
Filler,4814,930,60.0,1037,1420,809,0.37315875613747956,77
Tic-Tac-Toe,4815,1036,10.0,988,1340,913,0.1756440281030445,25
Froggy,4839,947,69.0,1219,1340,885,0.734065934065934,37
Andrew's Travel Blog,4840,1044,40.0,984,1420,809,0.2864157119476268,75
Seaborn and Pandas Data Analysis (for a summer course),4843,1027,14.0,1066,1430,798,0.4240506329113924,90
YSWS Timer,4880,955,51.0,1024,1328,913,0.2674698795180723,22
quiz game,4891,1024,24.0,950,1328,922,0.06896551724137931,20
Portfolio Website (Sick Animations),4902,1042,74.0,1068,1394,809,0.4427350427350427,69
Weather app,4906,1049,8.0,1064,1340,913,0.35362997658079626,27
Emergency Number Lookup,4935,1006,143.0,1322,1430,787,0.8320373250388803,98
Marine Life Website,4936,989,5.0,989,1394,813,0.3029259896729776,66
Interactive galaxy,4951,1008,17.0,951,1340,913,0.08899297423887588,25
Jawa,5020,1045,10.0,899,1420,809,0.14729950900163666,77
Password strength checker,5044,1090,3.0,903,1340,899,0.009070294784580499,30
Personal Portfolio,5089,1159,20.0,1112,1307,939,0.4701086956521739,18
Personal Portfolio,5097,1092,11.0,1086,1394,809,0.4735042735042735,69
Atomica,5146,1121,81.0,1062,1394,809,0.4324786324786325,69
Weather App,5292,1237,2.0,954,1340,899,0.12471655328798185,31
Spring Planner,5318,1403,177.0,1240,1340,899,0.7732426303854876,33
CodeMate,5360,1399,42.0,1114,1340,899,0.4875283446712018,32
The awesomeness of scratch,5369,1424,31.0,1091,1340,913,0.4168618266978923,24
Github Profile Finder,5388,1236,35.0,995,1340,913,0.1920374707259953,26
Aesthetic Pomodoro Timer,5533,1315,21.0,1047,1334,913,0.3182897862232779,23
COOKIE-MYSTERY,5585,1418,27.0,1053,1328,922,0.3226600985221675,20
Perfect Circle Challenge - Think You Can Draw One?,5593,1482,59.0,1085,1307,939,0.3967391304347826,18
protect.it - insurance powered by prediction markets,5698,1425,22.0,1014,1328,913,0.2433734939759036,21
